,Layers Decomposed,Matrices Decomposed,Rank,Batch Size,Dataset Size,Number of Batches,Total Inference Time(s),Benchmark,Parameter Reduction(%),Inference Time Per Batch,Total Average Power,Total Average Energy,Average Energy Per Batch,Average Memory Usage,Average Memory Utlization
0,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,138.82497119903564,arc_easy,0.0,0.24960803923973257,1119.5693333333334,151141.86,271.7538710493047,26045.262962962966,87.41851851851851
1,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,128.36564660072327,arc_easy,15.010730454178034,0.2308021177818876,1129.96936,141246.16999999998,253.96136760781005,24151.288,85.92599999999999
2,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,122.96780586242676,arc_easy,21.015022635849245,0.22109677132168318,1125.0725833333331,135008.71000000002,242.7463812333193,23393.254166666666,85.02708333333334
3,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,112.8378279209137,arc_easy,33.02360699919167,0.20288301691075927,1091.916909090909,120110.86000000002,215.9599674111533,21880.03181818182,83.59545454545454
4,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,100.08695077896118,arc_easy,48.03433745336969,0.17995687174753522,1097.0887628865978,106417.60999999999,191.33943081893523,19928.659793814433,81.29381443298969
5,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,135.7786045074463,arc_easy,6.004292181671211,0.24413065566727243,1117.3319696969697,147487.82,265.1838876246664,25355.598484848484,86.45265151515152
6,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,90.18757152557373,arc_easy,60.042921816712116,0.16215773500875738,1095.4190804597702,95301.45999999999,171.35253378283466,18405.298850574713,79.62643678160919
7,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,78.53809857368469,arc_easy,75.05365227089014,0.14121192045837394,1056.4373684210525,80289.23999999999,144.3604820901812,16469.46052631579,77.02960526315789
8,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,71.94269490242004,arc_easy,84.06009054339695,0.12935334945230742,995.7204285714284,69700.43,125.32174518893102,15357.057142857142,74.25357142857143
9,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,133.40033411979675,arc_easy,9.006438272506823,0.23985451281547948,1120.3103846153847,145640.35,261.86212670318866,24969.399999999998,85.975
10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,62.19066381454468,arc_easy,96.06867490673937,0.11181914550163954,978.3808333333334,58702.85,105.54803764573676,13684.9,68.55833333333334
11,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,106.45804142951965,arc_challenge,0.0,0.2904226194155694,1128.1609615384616,117328.74,320.07840409207165,27133.105769230773,87.82451923076923
12,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,97.52600717544556,arc_challenge,15.010730454178034,0.26605560354767754,1129.1150526315787,107265.93,292.62657800511505,25350.426315789475,87.86315789473684
13,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,92.84718680381775,arc_challenge,21.015022635849245,0.25329155820308336,1137.2689999999998,102354.20999999999,279.2271713554987,24446.46111111111,86.69166666666666
14,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,85.61099815368652,arc_challenge,33.02360699919167,0.23355089010383365,1116.8686746987953,92700.1,252.89029838022168,23019.656626506025,85.97289156626506
15,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,75.68033456802368,arc_challenge,48.03433745336969,0.20645956574396912,1099.0291780821917,80229.13,218.86889684569482,21115.020547945205,83.56164383561644
16,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,103.19339156150818,arc_challenge,6.004292181671211,0.2815164987185219,1140.7912000000001,114079.12000000001,311.21328559249787,26449.97,88.6225
17,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,67.69694900512695,arc_challenge,60.042921816712116,0.18468050879489023,1094.094696969697,72210.25000000001,196.99300937766415,19559.10606060606,82.60606060606061
18,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,58.88634467124939,arc_challenge,75.05365227089014,0.1606447595464604,1078.0807017543857,61450.59999999999,167.64017050298378,17521.236842105263,79.11842105263158
19,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,53.370394229888916,arc_challenge,84.06009054339695,0.14559698340634658,1003.6126923076922,52187.85999999999,142.37097357203749,16526.009615384617,77.4326923076923
20,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,101.40338921546936,arc_challenge,9.006438272506823,0.2766332868623205,1129.325102040816,110673.86000000002,301.92357374254055,26111.821428571428,88.35969387755102
21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,46.09996938705444,arc_challenge,96.06867490673937,0.12576291733893796,1000.4403012684988,43747.03,119.34398635976129,14965.469344608879,73.18247885835095
22,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,92.88099694252014,hellaswag,0.0,0.5918343094704589,1184.9285555555555,106643.57,679.5289207487058,26193.68888888889,94.86666666666667
23,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,84.59203791618347,hellaswag,15.010730454178034,0.5390173662520651,1172.5231963264077,95845.58000000002,610.7245240939866,24263.19866004216,92.63173742848541
24,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,80.65617489814758,hellaswag,21.015022635849245,0.5139381913063964,1180.405735930736,91776.86,584.7987893269614,23509.837662337664,92.88049450549451
25,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,73.47474360466003,hellaswag,33.02360699919167,0.46817837422324193,1138.7294366197182,80849.79000000001,515.171899641577,22029.450704225354,92.52464788732394
26,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,64.2199387550354,hellaswag,48.03433745336969,0.4092070968062789,1147.2116129032256,71127.12,453.21940262843486,20097.225806451614,91.08870967741936
27,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,89.75109934806824,hellaswag,6.004292181671211,0.5718907166742699,1184.3125287356322,103035.19,656.5364555953803,25509.425287356324,94.10919540229885
28,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,57.01001334190369,hellaswag,60.042921816712116,0.3632657162367419,1129.9836363636364,62149.1,396.0117881322182,18547.054545454546,90.78181818181818
29,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,48.428590536117554,hellaswag,75.05365227089014,0.308585204531215,1123.5482978723403,52806.77,336.48280366387894,16635.329787234044,88.87765957446808
30,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,43.39411234855652,hellaswag,84.06009054339695,0.27650569397726177,1108.9190534262484,46307.94,295.0724970131422,15404.139953542392,86.23954703832753
31,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,88.10902523994446,hellaswag,9.006438272506823,0.5614274806209125,1176.7441176470588,100023.24999999999,637.3444842692154,25122.941176470587,94.43823529411765
32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,156.9375,36.37236833572388,hellaswag,96.06867490673937,0.23176339839569177,1105.686857142857,38699.03999999999,246.58886499402624,13927.614285714284,85.81428571428572
33,[],"[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,228.63404035568237,mmlu,0.0,0.5182976261959362,1171.3262162162164,260034.42,589.4801246812128,50498.52702702703,96.78941441441441
34,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,215.04267573356628,mmlu,15.010730454178034,0.4874869384722387,1143.3606220095694,238962.37,541.7112383111363,49599.87320574162,96.20454545454547
35,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,206.12452578544617,mmlu,21.015022635849245,0.4672701066261177,1146.5018,229300.36,519.8081269481439,48843.64750000001,96.17125
36,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,188.63989210128784,mmlu,33.02360699919167,0.4276336460216216,1149.5700546448088,210371.32,476.8972966846132,47428.183060109295,95.9289617486339
37,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,167.88119196891785,mmlu,48.03433745336969,0.38057510222480667,1140.8737037037035,184821.53999999998,418.9777047322187,46789.41358024691,95.8070987654321
38,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,220.6866500377655,mmlu,6.004292181671211,0.500281439586887,1176.768878504673,251828.54,570.8779597619722,49801.07943925233,96.3516355140187
39,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,150.42185997962952,mmlu,60.042921816712116,0.34099599882035597,1154.4,167388.0,379.457069991499,45223.379310344826,95.18793103448276
40,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,130.04077911376953,mmlu,75.05365227089014,0.2947934918985991,1133.35408,141669.26,321.15445735335794,43326.416,94.17
41,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,117.7421190738678,mmlu,84.06009054339695,0.26691327644968615,1122.577168141593,126851.22,287.5629810144517,42736.738938053095,93.44026548672566
42,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,223.8688588142395,mmlu,9.006438272506823,0.5074952877625152,1153.8607407407408,250097.95,566.9548313969964,50261.55540621267,96.69577786311658
43,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,441.125,104.73785305023193,mmlu,96.06867490673937,0.2374335008222883,1091.8121782178218,110273.02999999998,249.981365826013,42786.70297029703,92.75742574257426
44,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,61.93832564353943,truthfulqa,0.0,1.5252223321225562,1147.8173333333334,68869.04000000001,1695.890173143517,33676.433333333334,97.57916666666668
45,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,56.138473987579346,truthfulqa,15.010730454178034,1.382401821933466,1136.2020370370371,61354.91,1510.8558060792614,31702.472222222223,97.40277777777777
46,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,53.52059245109558,truthfulqa,21.015022635849245,1.3179368668218996,1142.9501923076923,59433.41,1463.5391458253175,31043.855769230766,97.75
47,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,48.81046676635742,truthfulqa,33.02360699919167,1.2019507014416602,1148.9674468085107,54001.47,1329.778407079646,29360.542553191488,98.49468085106383
48,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,42.56335496902466,truthfulqa,48.03433745336969,1.0481164748047627,1136.2678048780488,46586.98,1147.1976606387072,27149.012195121948,95.0609756097561
49,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,59.632853746414185,truthfulqa,6.004292181671211,1.4684504193037737,1146.3863793103449,66490.41,1637.3167525971528,32810.1724137931,96.6594827586207
50,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,37.72990846633911,truthfulqa,60.042921816712116,0.9290935520760689,1125.4505555555556,40516.22,997.7060715659869,26097.430555555555,96.41666666666666
51,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,32.00875902175903,truthfulqa,75.05365227089014,0.7882110724865633,1154.2267741935484,35781.030000000006,881.1027010388613,23900.62903225806,95.9274193548387
52,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,28.57580852508545,truthfulqa,84.06009054339695,0.7036751618335778,1156.195925925926,31217.289999999997,768.7212620238553,23023.833333333332,95.28703703703704
53,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,58.61721348762512,truthfulqa,9.006438272506823,1.4434404244740315,1155.0005357142857,64680.030000000006,1592.7364063101195,32447.535714285714,96.77232142857143
54,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,40.609375,23.89431667327881,truthfulqa,96.06867490673937,0.5883941004578083,1082.9608695652175,24908.1,613.3583686033089,21348.847826086956,93.55434782608695
55,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,53.98375988006592,winogrande,0.0,0.18164882399180962,1132.660576923077,58898.35,198.185825446898,16891.153846153848,81.3701923076923
56,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,50.2465443611145,winogrande,15.010730454178034,0.1690735456946019,1114.7052083333333,53505.85,180.04071503680336,15008.177083333334,80.68229166666666
57,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,48.487895488739014,winogrande,21.015022635849245,0.16315590490427428,1064.9919148936171,50054.619999999995,168.42774342797054,14237.031914893618,79.40425531914893
58,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,44.76553392410278,winogrande,33.02360699919167,0.15063060836711767,1074.7913953488373,46216.03,155.51135226077812,12699.639534883721,77.69186046511628
59,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,40.18375015258789,winogrande,48.03433745336969,0.13521346002973844,1074.2133333333336,41894.32000000001,140.96932071503682,10769.692307692309,75.25641025641026
60,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,52.86237859725952,winogrande,6.004292181671211,0.17787551157858095,1114.8835294117648,56859.060000000005,191.3238611987382,16165.568627450979,80.47058823529412
61,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,36.377636671066284,winogrande,60.042921816712116,0.1224063484199917,1059.1582857142857,37070.54,124.73788433228181,9227.657142857144,73.52857142857144
62,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,32.36044001579285,winogrande,75.05365227089014,0.10888896745587498,1024.6706451612904,31764.79,106.88467718191377,7297.693548387097,69.31451612903226
63,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,29.9544460773468,winogrande,84.06009054339695,0.1007930887986433,910.4596551724137,26403.329999999998,88.84401261829652,6174.258620689654,66.61206896551724
64,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,51.95574069023132,winogrande,9.006438272506823,0.1748247846569298,1130.2258,56511.29,190.15365720294426,15779.44,80.26499999999999
65,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,297.1875,26.519697904586792,winogrande,96.06867490673937,0.08923557654540246,900.1304000000001,22503.260000000002,75.72074868559412,4597.219999999999,62.43000000000001
